OrderNumber,OrderDate,Customer_Name_Index,Channel,Currency_Code,Warehouse_Code,Delivery_Regoin_index,Product_Index,Product_Quantity,Unit_Price,Line_Total,Total_Unit_Cost
SO - 000424,2/5/2022,10,Export,USD,NXH382,139,6,14,3211.8,44965.2,5899.48
SO - 000425,3/27/2022,22,Export,USD,FLR025,695,20,14,171.77,2404.78,315.51
SO - 000426,3/20/2021,21,Export,USD,FLR025,559,10,8,2345.34,18762.72,2461.69
SO - 000427,5/2/2022,7,Wholesale,USD,NXH382,240,13,8,1034.63,8277.04,1085.96
SO - 000428,4/7/2022,14,Distributor,USD,NXH382,846,15,11,3430.97,37740.67,4951.61
SO - 000429,3/21/2022,10,Export,USD,AXW291,525,15,8,2233.28,17866.24,2344.07
SO - 000430,1/8/2022,14,Distributor,USD,AXW291,682,24,15,1847.86,27717.9,3636.62
SO - 000431,4/22/2022,14,Wholesale,USD,AXW291,607,18,13,1320.31,17164.03,2251.94
SO - 000432,2/3/2022,25,Export,USD,FLR025,1,3,4,1171.6,4686.4,614.86
SO - 000433,1/14/2021,22,Wholesale,USD,GUT930,172,20,7,3895.36,27267.52,3577.53
SO - 000434,5/21/2021,21,Wholesale,USD,AXW291,366,23,12,1348.6,16183.2,2123.25
SO - 000435,9/26/2021,5,Wholesale,USD,AXW291,190,4,5,4194.99,20974.95,2751.93
SO - 000436,6/20/2021,19,Wholesale,USD,AXW291,299,11,3,708.54,2125.62,278.88
SO - 000437,10/29/2021,11,Distributor,USD,FLR025,751,26,3,3343.75,10031.25,1316.11
SO - 000438,1/6/2022,2,Distributor,USD,FLR025,458,26,15,211.95,3179.25,417.12
SO - 000439,3/13/2022,19,Wholesale,USD,NXH382,554,10,11,2508.94,27598.34,3620.93
SO - 000440,12/26/2021,24,Wholesale,USD,NXH382,122,16,10,194.21,1942.1,254.81
SO - 000441,5/25/2021,20,Distributor,USD,GUT930,64,14,10,1822.28,18222.8,2390.85
SO - 000442,2/19/2022,6,Distributor,USD,NXH382,348,28,2,4750.86,9501.72,1246.64
SO - 000443,2/18/2021,5,Distributor,USD,NXH382,73,30,9,2477.1,22293.9,2924.98
SO - 000444,2/14/2022,1,Export,USD,GUT930,919,9,7,1564.6,10952.2,1436.94
SO - 000445,3/9/2022,2,Wholesale,USD,AXW291,844,13,6,3999.9,23999.4,3148.75
SO - 000446,5/6/2021,17,Wholesale,USD,GUT930,968,26,13,2846.28,37001.64,4854.65
SO - 000447,12/5/2021,19,Export,USD,AXW291,80,4,10,631.06,6310.6,827.96
SO - 000448,3/21/2022,25,Export,USD,FLR025,699,15,3,986.03,2958.09,388.1
SO - 000449,5/11/2021,23,Export,USD,GUT930,86,16,15,338.8,5082,666.76
SO - 000450,7/28/2021,14,Distributor,USD,FLR025,616,28,13,3248.55,42231.15,5540.77
SO - 000451,4/3/2021,4,Export,USD,NXH382,302,30,3,1197.85,3593.55,471.48
SO - 000452,2/20/2022,15,Wholesale,USD,AXW291,204,17,5,4554.87,22774.35,2988.02
SO - 000453,5/30/2021,24,Distributor,USD,FLR025,948,12,8,4682.35,37458.8,4914.63
SO - 000454,2/14/2021,9,Export,USD,AXW291,516,21,5,683.83,3419.15,448.6
SO - 000455,1/16/2022,8,Wholesale,USD,NXH382,652,24,3,4380.9,13142.7,1724.34
SO - 000456,9/9/2021,4,Export,USD,FLR025,82,16,13,3721.29,48376.77,6347.08
SO - 000457,6/4/2021,23,Export,USD,FLR025,69,19,15,1831.12,27466.8,3603.67
SO - 000458,4/14/2022,14,Distributor,USD,AXW291,753,24,10,2387.69,23876.9,3132.67
SO - 000459,1/2/2022,17,Distributor,USD,GUT930,251,4,12,381.63,4579.56,600.84
SO - 000460,1/4/2022,7,Distributor,USD,AXW291,779,20,5,957.62,4788.1,628.2
SO - 000461,2/13/2022,22,Distributor,USD,FLR025,502,24,14,703.69,9851.66,1292.55
SO - 000462,12/2/2021,13,Export,USD,FLR025,729,2,12,4441.16,53293.92,6992.22
SO - 000463,1/20/2022,18,Distributor,USD,AXW291,205,5,14,1092.45,15294.3,2006.63
SO - 000464,4/20/2022,7,Export,USD,AXW291,49,14,3,4531.57,13594.71,1783.64
SO - 000465,5/10/2021,15,Export,USD,NXH382,368,15,8,4233.83,33870.64,4443.86
SO - 000466,9/6/2021,5,Export,USD,FLR025,340,25,2,2017.95,4035.9,529.51
SO - 000467,6/16/2021,19,Export,USD,FLR025,903,21,11,2430.3,26733.3,3507.44
SO - 000468,12/24/2021,22,Distributor,USD,NXH382,893,26,5,4919.02,24595.1,3226.9
SO - 000469,1/14/2022,8,Distributor,USD,GUT930,754,12,3,2999.59,8998.77,1180.65
SO - 000470,4/3/2022,11,Distributor,USD,AXW291,755,17,1,3869.18,3869.18,507.64
SO - 000471,9/25/2021,20,Distributor,USD,NXH382,201,21,14,1734.43,24282.02,3185.83
SO - 000472,12/8/2021,22,Export,USD,FLR025,349,3,4,4597.7,18390.8,2412.89
SO - 000473,4/1/2021,25,Distributor,USD,NXH382,513,10,11,3404.12,37445.32,4912.86
SO - 000474,9/14/2021,4,Wholesale,USD,FLR025,432,26,15,2965.27,44479.05,5835.7
SO - 000475,1/18/2022,10,Export,USD,AXW291,973,2,12,1653.39,19840.68,2603.12
SO - 000476,3/28/2021,15,Distributor,USD,FLR025,470,6,11,2095.09,23045.99,3023.66
SO - 000477,1/11/2022,14,Wholesale,USD,FLR025,705,16,7,2613.16,18292.12,2399.94
SO - 000478,11/19/2021,10,Export,USD,FLR025,944,15,8,1823.3,14586.4,1913.75
SO - 000479,3/29/2021,9,Export,USD,GUT930,738,12,5,3709.56,18547.8,2433.49
SO - 000480,5/8/2022,22,Distributor,USD,FLR025,992,5,3,2372.48,7117.44,933.82
SO - 000481,3/27/2022,6,Distributor,USD,FLR025,927,27,1,2161.55,2161.55,283.6
SO - 000482,1/9/2022,19,Distributor,USD,AXW291,606,10,1,4525.32,4525.32,593.73
SO - 000483,10/1/2021,14,Export,USD,NXH382,798,6,11,3693.02,40623.22,5329.81
SO - 000484,11/14/2021,6,Wholesale,USD,NXH382,639,21,8,2547.51,20380.08,2673.89
SO - 000485,10/29/2021,25,Distributor,USD,AXW291,279,16,11,2992.48,32917.28,4318.78
SO - 000486,6/10/2021,20,Wholesale,USD,FLR025,180,25,3,1302.45,3907.35,512.65
SO - 000487,6/28/2021,19,Export,USD,GUT930,806,28,14,724.65,10145.1,1331.05
SO - 000488,7/19/2021,13,Export,USD,FLR025,962,18,13,3909.26,50820.38,6667.69
SO - 000489,12/30/2021,4,Export,USD,GUT930,677,25,8,115.95,927.6,121.7
SO - 000490,11/6/2021,14,Export,USD,FLR025,518,25,15,809.27,12139.05,1592.66
SO - 000491,7/9/2021,2,Export,USD,GUT930,666,25,6,687.99,4127.94,541.59
SO - 000492,2/3/2021,7,Distributor,USD,GUT930,727,7,7,3657.99,25605.93,3359.52
SO - 000493,9/15/2021,18,Wholesale,USD,NXH382,1,14,1,2476.83,2476.83,324.96
SO - 000494,8/13/2021,24,Export,USD,NXH382,206,10,5,900.17,4500.85,590.52
SO - 000495,3/7/2022,22,Export,USD,AXW291,768,30,6,686.53,4119.18,540.44
SO - 000496,3/1/2021,11,Wholesale,USD,NXH382,687,26,11,3407.03,37477.33,4917.06
SO - 000497,1/18/2021,20,Distributor,USD,NXH382,418,17,5,2207.22,11036.1,1447.95
SO - 000498,6/2/2021,1,Export,USD,NXH382,296,7,14,4757.15,66600.1,8738
SO - 000499,6/6/2021,13,Distributor,USD,FLR025,718,27,5,216.79,1083.95,142.22
SO - 000500,3/1/2022,16,Export,USD,FLR025,711,7,7,3931.15,27518.05,3610.4
SO - 000501,4/22/2021,22,Distributor,USD,AXW291,761,1,14,3060.91,42852.74,5622.32
SO - 000502,6/18/2021,1,Export,USD,NXH382,430,4,7,4309.55,30166.85,3957.92
SO - 000503,6/16/2021,1,Export,USD,AXW291,35,28,12,2016.16,24193.92,3174.27
SO - 000504,11/21/2021,21,Wholesale,USD,FLR025,71,23,10,429.22,4292.2,563.14
SO - 000505,9/9/2021,24,Export,USD,FLR025,507,28,14,4735.02,66290.28,8697.35
