id,name,country,state_code,state,type,latitude,longitude,area_code,population,household,median_in_land,area_water,time_zone
60,West Michelle,Micronesia,MA,Massachusetts,Town,48.9951,-119.2527,888,253650,90314,43392,4.55,Eastern/New_York
61,West Kristin,French Polynesia,NH,New Hampshire,Village,42.5045,-111.0309,833,326046,125058,86155,3.56,Pacific/Los_Angeles
62,Donaldberg,Sao Tome and Principe,KY,Kentucky,Village,34.4407,-124.5178,401,447884,162339,85376,3.57,Pacific/Los_Angeles
63,Martinview,Jordan,KY,Kentucky,Town,34.6421,-75.9392,602,350193,128204,86556,2.03,Mountain/Denver
64,Burnsberg,Montserrat,WY,Wyoming,Village,25.7441,-111.2289,658,341822,141047,115477,2.59,Pacific/Los_Angeles
65,Lopezburgh,Trinidad and Tobago,ND,North Dakota,Hamlet,27.4469,-91.1299,200,139364,54286,141789,2.36,Central/Chicago
66,Sarahton,Dominican Republic,FL,Florida,City,39.7813,-78.5236,366,248976,81201,137024,2.53,Eastern/New_York
67,Carlosfurt,Somalia,PA,Pennsylvania,CDP,30.847,-119.0368,882,213071,64073,66495,1.21,Central/Chicago
68,Jillmouth,Armenia,KY,Kentucky,Hamlet,38.4503,-88.1339,828,360634,153519,49690,2.29,Central/Chicago
69,Lake Bonnie,Canada,KS,Kansas,Village,43.0924,-105.4855,511,72920,22056,41924,0.59,Mountain/Denver
70,Mcdowellview,Saint Helena,AZ,Arizona,Village,26.7454,-67.1709,900,10985,4384,126907,2.68,Pacific/Los_Angeles
71,Stacymouth,Nigeria,UT,Utah,Town,27.7406,-115.5063,446,106005,45572,52366,1.23,Pacific/Los_Angeles
72,Codyport,Malawi,IN,Indiana,City,41.1433,-72.25,851,223148,103719,128524,1.71,Pacific/Los_Angeles
73,North Victoriaburgh,Western Sahara,PR,Puerto Rico,City,42.9773,-105.8444,329,379930,156640,113303,0.15,Central/Chicago
74,New Timothy,Singapore,MA,Massachusetts,City,42.9416,-68.564,615,252204,104851,124475,0.41,Pacific/Los_Angeles
75,Hansonview,Somalia,ND,North Dakota,Hamlet,36.746,-123.7788,423,249910,76138,95343,1.99,Mountain/Denver
76,Burnettstad,Germany,DE,Delaware,Village,40.911,-92.1161,654,374886,164900,66737,4.23,Mountain/Denver
77,South Kevinstad,Cameroon,NY,New York,Village,30.3169,-91.863,880,468804,193431,24795,3.81,Pacific/Los_Angeles
78,West Marilyn,Myanmar,OK,Oklahoma,CDP,29.0128,-77.4963,263,197217,67552,47789,4.96,Central/Chicago
79,Keithfort,Zambia,ID,Idaho,City,28.4689,-95.133,466,83828,40254,111107,1.18,Central/Chicago
80,Beverlyburgh,Timor-Leste,RI,Rhode Island,Village,30.3176,-89.9913,895,85069,37702,60151,2.73,Eastern/New_York
81,West Richardshire,Cameroon,NE,Nebraska,CDP,25.0902,-85.494,741,78203,24714,134630,4.08,Mountain/Denver
82,Kaitlynland,Poland,TX,Texas,Hamlet,37.2691,-124.1287,779,147776,49447,68386,3.91,Pacific/Los_Angeles
83,Martinezshire,Netherlands Antilles,IN,Indiana,City,28.1123,-95.9709,384,279386,103277,28843,1.61,Pacific/Los_Angeles
84,Alexanderberg,Svalbard & Jan Mayen Islands,NY,New York,City,41.3558,-70.6754,731,103705,39566,100564,4.42,Pacific/Los_Angeles
85,Staceystad,Jersey,MO,Missouri,City,32.8043,-99.6163,491,211908,98475,81558,3.23,Pacific/Los_Angeles
86,East Angelatown,Sri Lanka,NM,New Mexico,Village,26.0688,-97.2418,865,16599,8008,119421,1.58,Central/Chicago
87,West Willieshire,Samoa,ND,North Dakota,Town,26.669,-78.1152,288,211204,71736,52211,4.64,Mountain/Denver
88,East Patrickmouth,Monaco,CO,Colorado,Hamlet,46.5008,-78.3666,550,58699,27738,87090,2.59,Mountain/Denver
89,Butlermouth,Saudi Arabia,MS,Mississippi,Hamlet,27.7846,-83.7299,402,143994,66100,57237,2.93,Pacific/Los_Angeles
90,Andrewfurt,Mayotte,TN,Tennessee,Town,25.747,-83.068,954,220354,72671,56222,3.46,Eastern/New_York
91,East Monica,Burundi,LA,Louisiana,City,28.2054,-105.0607,395,41864,13575,122047,2.2,Mountain/Denver
92,Marshallburgh,Sudan,AR,Arkansas,Village,40.7066,-67.4332,806,14390,7153,135470,1.08,Mountain/Denver
93,East Isaiahstad,Sri Lanka,TN,Tennessee,Hamlet,26.5082,-72.8769,655,259166,91838,101146,2.45,Central/Chicago
94,Andreatown,Serbia,MO,Missouri,CDP,48.0889,-95.5828,983,411210,173533,89475,0.68,Central/Chicago
95,East Regina,Anguilla,MA,Massachusetts,Town,42.7907,-99.4983,707,43878,20237,136611,0.54,Pacific/Los_Angeles
96,Leahville,Kyrgyz Republic,MS,Mississippi,Hamlet,31.5409,-79.9566,467,389562,139377,148368,3.81,Pacific/Los_Angeles
97,Shawnside,United States of America,CT,Connecticut,CDP,46.0324,-72.584,404,415558,191784,46179,2.54,Pacific/Los_Angeles
98,Port Meganbury,Netherlands Antilles,MO,Missouri,City,25.8769,-95.5525,962,345002,154566,51712,2.85,Mountain/Denver
99,Port Christinaberg,Madagascar,PR,Puerto Rico,City,47.8172,-118.8807,616,81669,27029,29584,2.43,Central/Chicago
100,Simsshire,Guadeloupe,TN,Tennessee,Town,48.295,-108.1197,583,420263,130412,28709,0.73,Mountain/Denver
101,Lake Christopher,Angola,NC,North Carolina,CDP,35.6073,-92.2791,523,447267,217705,43462,3.71,Pacific/Los_Angeles
102,Morenofort,Mali,LA,Louisiana,Village,47.7699,-95.2941,559,124287,40921,25727,0.77,Eastern/New_York
103,New Michelle,Madagascar,VA,Virginia,Hamlet,30.3631,-78.5776,690,41105,17980,147549,1.99,Mountain/Denver
104,Leonardstad,Swaziland,OK,Oklahoma,City,46.4003,-85.3115,816,471329,144464,27564,4.95,Mountain/Denver
105,Davidmouth,Indonesia,VA,Virginia,CDP,33.4206,-112.5071,298,485312,190039,64220,1.5,Central/Chicago
106,New Patrick,United States Virgin Islands,AR,Arkansas,Town,35.4485,-68.2759,949,222370,107114,116977,0.54,Mountain/Denver
107,Port Tabitha,Haiti,MT,Montana,CDP,39.0255,-110.12,759,355166,158578,145887,1.01,Mountain/Denver
108,East Christopherhaven,Guinea-Bissau,SC,South Carolina,Town,40.09,-116.9561,524,99881,36869,37423,0.56,Central/Chicago
109,South Williamburgh,Turkmenistan,DE,Delaware,Hamlet,26.1173,-118.3076,823,328201,106497,138284,1.73,Mountain/Denver
110,Griffinshire,Iceland,AL,Alabama,Village,27.1849,-117.1574,718,120137,44534,89708,2.84,Pacific/Los_Angeles
111,Emilytown,French Polynesia,GA,Georgia,Hamlet,47.2962,-105.3121,407,414524,151119,52252,4.02,Eastern/New_York
112,Moralesville,Philippines,MA,Massachusetts,City,41.6729,-98.9154,476,9290,4262,45297,3.89,Pacific/Los_Angeles
113,New Randallmouth,Georgia,SD,South Dakota,Village,39.4803,-74.3815,769,7838,3309,140302,1.88,Mountain/Denver
114,Clarkeside,Ireland,RI,Rhode Island,Hamlet,31.7483,-122.8246,291,363258,164094,136179,0.66,Mountain/Denver
115,Nicholasside,Portugal,IL,Illinois,Village,42.8156,-91.7831,640,426957,197432,124701,3.74,Pacific/Los_Angeles
116,North Carolyn,Fiji,NM,New Mexico,Village,32.296,-106.8136,446,66546,29025,26509,4.14,Eastern/New_York
117,South Rebekah,Iraq,GA,Georgia,City,46.8254,-111.3232,634,93463,33479,104600,0.62,Eastern/New_York
118,Gomezshire,Greenland,RI,Rhode Island,Village,36.4468,-109.2096,667,104686,49809,43426,0.57,Mountain/Denver
119,South Allisonborough,Turks and Caicos Islands,AZ,Arizona,Hamlet,46.7657,-88.5085,317,302925,123761,90003,4.81,Eastern/New_York
120,Lake Joseph,Russian Federation,IN,Indiana,CDP,38.6596,-67.6274,305,341743,116671,107645,4.76,Mountain/Denver
121,Lake Travis,Saudi Arabia,NV,Nevada,City,31.433,-85.7329,906,263042,109523,110812,2.66,Eastern/New_York
122,West Tammy,Rwanda,NV,Nevada,Town,44.6549,-117.8564,926,477146,215870,118082,3.7,Pacific/Los_Angeles
123,West Jenniferside,Bouvet Island (Bouvetoya),OH,Ohio,Hamlet,27.9245,-73.4638,674,340649,131968,119378,4.92,Pacific/Los_Angeles
124,Sheamouth,United Kingdom,RI,Rhode Island,CDP,45.056,-87.5164,921,29908,13027,55293,1.19,Pacific/Los_Angeles
125,Jonesville,Hungary,CA,California,City,28.3352,-113.7125,543,316154,133926,55698,2.82,Pacific/Los_Angeles
126,New Karenstad,Myanmar,OR,Oregon,Hamlet,32.9243,-73.5878,485,490064,155854,114314,0.86,Central/Chicago
127,South Michaelburgh,Sao Tome and Principe,MT,Montana,City,29.6144,-85.7754,492,433508,162962,148900,1.43,Mountain/Denver
128,East Sheilamouth,Grenada,PA,Pennsylvania,Village,39.7492,-112.6688,478,130059,60125,26048,1.38,Mountain/Denver
129,Keyfort,Chile,WI,Wisconsin,Hamlet,43.0473,-100.7716,337,265465,112270,20041,0.37,Central/Chicago
130,North Sarah,Lao People's Democratic Republic,OH,Ohio,City,28.4671,-119.3739,860,135779,47130,52177,2.79,Central/Chicago
131,Lake Seanbury,Dominica,FL,Florida,Hamlet,45.8394,-105.5528,998,62189,23268,83030,3.26,Eastern/New_York
132,East Brittanybury,Italy,KY,Kentucky,Hamlet,35.6108,-100.2096,349,29871,13196,117136,3.29,Pacific/Los_Angeles
133,Lake Patrickburgh,Holy See (Vatican City State),MO,Missouri,City,45.6007,-88.1926,236,150554,67620,90597,3.55,Eastern/New_York
134,Lake Juliemouth,Indonesia,AL,Alabama,CDP,27.3293,-84.1383,676,88590,27372,45825,2.39,Mountain/Denver
135,Williamsonfurt,Gabon,CO,Colorado,Hamlet,32.978,-107.7605,409,88130,38930,22217,2.23,Central/Chicago
136,North Thomas,Bhutan,NM,New Mexico,CDP,29.7441,-88.2945,210,250329,102836,96041,2.8,Pacific/Los_Angeles
137,Juarezfort,Botswana,OK,Oklahoma,Hamlet,32.155,-113.9601,755,442140,189223,48666,3.59,Central/Chicago
138,Patrickfurt,Bulgaria,UT,Utah,CDP,44.8065,-83.2402,333,383263,144549,142577,4.45,Central/Chicago
139,South Scottview,Nepal,ME,Maine,CDP,31.5194,-111.2224,397,251938,108115,145592,3.28,Eastern/New_York
140,North Samanthaville,Cocos (Keeling) Islands,KS,Kansas,Hamlet,26.3786,-77.5545,203,492388,203980,38179,1.99,Central/Chicago
141,South Michaelchester,Greece,IA,Iowa,City,33.5605,-83.2235,955,415086,136111,100640,0.26,Central/Chicago
142,North Kristy,Romania,NE,Nebraska,Village,33.9445,-90.1798,474,26919,12384,130022,2.36,Mountain/Denver
143,East Larryland,Anguilla,UT,Utah,CDP,29.4595,-95.918,575,16158,6923,41419,0.57,Pacific/Los_Angeles
144,East Tara,Eritrea,WI,Wisconsin,Hamlet,32.0805,-87.7173,964,260828,93483,47676,2.31,Mountain/Denver
145,Lake Connie,Svalbard & Jan Mayen Islands,OR,Oregon,City,25.7269,-71.574,447,61532,30680,30381,0.36,Eastern/New_York
146,Jacksonchester,Taiwan,MO,Missouri,Town,47.0532,-87.7817,440,323818,148208,74249,1.95,Pacific/Los_Angeles
147,Shannonville,Sao Tome and Principe,WV,West Virginia,CDP,32.8431,-116.2131,910,65751,23896,121496,1.9,Pacific/Los_Angeles
148,Lake Heathershire,Latvia,WY,Wyoming,CDP,34.2878,-118.2868,939,463437,180576,42378,2.79,Central/Chicago
149,South Jessicaburgh,Myanmar,SC,South Carolina,City,44.5777,-124.6464,547,130329,41204,21568,4.42,Pacific/Los_Angeles
150,New Alan,Kenya,IL,Illinois,City,30.4374,-94.8462,571,211433,73843,109706,0.84,Eastern/New_York
151,Maryburgh,Martinique,MT,Montana,City,25.3118,-78.5892,556,341873,143002,20569,2.87,Eastern/New_York
152,Samanthaborough,South Georgia and the South Sandwich Islands,MN,Minnesota,Town,31.9296,-95.1143,755,487895,187311,115100,0.91,Mountain/Denver
153,Loriview,Haiti,AZ,Arizona,Hamlet,40.4353,-75.9449,470,205294,84254,29791,1.87,Central/Chicago
154,Lake Dan,Aruba,AZ,Arizona,CDP,32.602,-110.8761,517,380885,180257,145716,2.26,Eastern/New_York
155,West Kevinhaven,Singapore,GA,Georgia,City,29.2287,-98.7576,679,240235,104556,119742,2.25,Mountain/Denver
156,North Patrick,Montenegro,NV,Nevada,Hamlet,26.6955,-80.7406,287,373892,130768,132668,4.57,Mountain/Denver
157,Lake Amanda,Netherlands,CO,Colorado,City,29.749,-97.9481,394,188803,60397,42499,0.67,Eastern/New_York
158,North Jaclyntown,Equatorial Guinea,MA,Massachusetts,Hamlet,44.6308,-82.6966,930,63161,20780,30537,0.71,Eastern/New_York
159,Laurenmouth,Bhutan,IL,Illinois,Village,39.9443,-79.8322,838,112568,44096,89020,1.35,Eastern/New_York
160,Lake Jillstad,Hungary,OK,Oklahoma,City,35.1383,-96.0205,324,405757,146270,117358,0.5,Central/Chicago
161,West Aaron,North Macedonia,KS,Kansas,Town,45.9535,-103.8638,858,464604,208157,106590,2.06,Eastern/New_York
162,Briannaborough,Nepal,DC,District of Columbia,Town,34.8764,-114.1739,575,406857,145273,62288,2.16,Mountain/Denver
163,New Jeffreyfurt,Ireland,VA,Virginia,City,40.8071,-106.4091,812,342829,154698,30723,0.72,Eastern/New_York
164,West Lauraside,Colombia,VA,Virginia,Town,36.1124,-76.7965,206,142430,69282,144885,0.25,Mountain/Denver
165,New Brian,New Caledonia,DE,Delaware,Village,42.9866,-121.9511,682,225684,76946,47417,0.21,Pacific/Los_Angeles
166,New Michael,Uruguay,RI,Rhode Island,CDP,36.5861,-74.8573,961,476148,184164,65314,0.89,Eastern/New_York
167,Michaelburgh,Slovakia (Slovak Republic),NH,New Hampshire,Hamlet,29.1095,-71.5697,579,69841,26579,76433,0.41,Eastern/New_York
168,East David,Syrian Arab Republic,NE,Nebraska,Hamlet,27.0164,-89.8753,988,334983,112342,111220,3.31,Mountain/Denver
169,Gailville,Nauru,TN,Tennessee,Hamlet,38.7816,-70.4206,885,84961,27233,148554,1.94,Mountain/Denver
170,South Ashleyshire,Grenada,ME,Maine,Town,31.0109,-117.6051,848,393447,191218,37094,0.53,Pacific/Los_Angeles
171,Lake Megan,Peru,GA,Georgia,CDP,33.813,-115.5418,942,205100,91517,51680,1.31,Pacific/Los_Angeles
172,Samanthaville,Finland,NM,New Mexico,City,35.4323,-77.7941,921,6486,2392,142222,0.65,Mountain/Denver
173,Robinsonbury,Uzbekistan,OH,Ohio,Village,34.7523,-94.2191,369,488929,163429,80074,2.33,Pacific/Los_Angeles
174,East Jennifer,American Samoa,HI,Hawaii,City,38.0555,-91.7345,953,102989,39014,68366,0.31,Mountain/Denver
175,Pooleport,British Indian Ocean Territory (Chagos Archipelago),UT,Utah,Village,36.6978,-95.1045,302,462882,220180,31652,0.24,Mountain/Denver
176,North Yolanda,Honduras,IA,Iowa,CDP,28.3255,-69.8325,783,463169,152504,94428,0.35,Central/Chicago
177,East Scott,Ghana,CT,Connecticut,City,43.678,-80.4687,589,397658,163799,64268,2.38,Eastern/New_York
178,Colleenland,Canada,CT,Connecticut,Town,28.9552,-104.619,851,296012,118071,129923,4.77,Eastern/New_York
179,Kristinafurt,Pitcairn Islands,CT,Connecticut,City,30.1636,-104.9549,405,374531,174698,94423,2.14,Eastern/New_York
180,Brittanyfurt,Swaziland,WV,West Virginia,Village,37.0726,-79.5694,959,136956,59247,144176,0.72,Eastern/New_York
181,Port Kellyland,Mauritania,WY,Wyoming,Town,30.0596,-102.0401,498,426804,153657,31343,2.79,Pacific/Los_Angeles
182,East Michael,Turks and Caicos Islands,MA,Massachusetts,Village,27.5651,-124.6462,301,20922,6360,65258,4.69,Eastern/New_York
183,North Steven,Azerbaijan,LA,Louisiana,Hamlet,30.6554,-111.1722,558,418644,133781,75350,4.97,Mountain/Denver
184,Shermantown,Pitcairn Islands,KS,Kansas,City,29.6484,-80.9987,331,417005,186520,108035,4.05,Mountain/Denver
185,South Michaelberg,Central African Republic,WA,Washington,CDP,36.8301,-116.4385,338,197223,64940,128302,0.72,Pacific/Los_Angeles
186,Priceport,San Marino,ND,North Dakota,Village,26.9963,-84.3645,809,5422,2433,146199,1.26,Mountain/Denver
187,New Jerrymouth,British Indian Ocean Territory (Chagos Archipelago),MI,Michigan,Village,42.4619,-117.5309,228,494940,157678,129436,2.32,Pacific/Los_Angeles
188,Bergstad,Serbia,MO,Missouri,Town,41.4068,-101.4548,651,460276,183799,124625,2.95,Central/Chicago
189,Coryton,Samoa,HI,Hawaii,Hamlet,41.1975,-67.4443,335,256193,86645,29747,4.55,Pacific/Los_Angeles
190,Phillipmouth,Spain,TX,Texas,City,28.4841,-107.4063,734,290204,123602,99991,3.23,Mountain/Denver
191,North Caroline,Argentina,TX,Texas,Village,27.2591,-106.2227,909,136323,48489,64028,4.83,Central/Chicago
192,South Kimberlyfort,Falkland Islands (Malvinas),CA,California,Town,41.329,-77.6411,472,358257,174679,106443,2.42,Mountain/Denver
193,Dianeport,Italy,NY,New York,Village,46.5893,-80.2127,940,242858,119325,143231,1.98,Mountain/Denver
194,East Michael,Honduras,GA,Georgia,Hamlet,41.5674,-122.9139,432,444902,204634,48442,1.15,Mountain/Denver
195,West Victormouth,British Virgin Islands,IL,Illinois,Town,41.7604,-72.6659,228,232478,90065,31628,4.51,Central/Chicago
196,New Rebeccachester,Albania,VA,Virginia,Town,33.4623,-103.6101,423,143321,62466,23875,3.23,Eastern/New_York
197,South Joshua,Cayman Islands,MT,Montana,Town,34.7975,-112.3555,460,372490,154146,99795,3.6,Central/Chicago
198,Port Brenda,Nauru,KY,Kentucky,Town,41.2532,-92.9552,326,189701,77833,76848,1.7,Pacific/Los_Angeles
199,Jamietown,Armenia,MN,Minnesota,Hamlet,35.2569,-118.7618,558,496414,189714,40204,1.48,Pacific/Los_Angeles
200,South Teresa,Anguilla,OR,Oregon,Hamlet,32.4322,-74.4308,993,272018,125042,147134,1.97,Mountain/Denver
201,Derekhaven,Saint Kitts and Nevis,SD,South Dakota,Village,42.7454,-117.0207,900,62319,25801,44816,1.9,Central/Chicago
202,Kellyland,Mongolia,MS,Mississippi,Hamlet,36.4937,-118.4823,513,7641,3017,39214,1.2,Mountain/Denver
203,Ashleyton,Sudan,AZ,Arizona,Village,35.1797,-121.3661,284,388417,165508,73721,3.43,Pacific/Los_Angeles
204,Dianefurt,Samoa,AR,Arkansas,CDP,34.4346,-78.0407,534,306076,118972,47813,4.37,Mountain/Denver
205,Steventown,Papua New Guinea,TN,Tennessee,CDP,35.1005,-99.2625,299,103815,34865,28603,4.96,Pacific/Los_Angeles
206,North Elizabethmouth,Saint Lucia,AZ,Arizona,Town,47.2864,-105.4603,736,100102,41332,95471,0.58,Pacific/Los_Angeles
207,South Scott,Korea,MO,Missouri,Hamlet,34.824,-73.9,395,381502,144384,100904,1.69,Mountain/Denver
208,New Bradleyborough,Mexico,UT,Utah,Village,26.0488,-104.3306,910,55600,21825,104297,3.6,Eastern/New_York
209,East Timothy,Netherlands Antilles,VA,Virginia,Village,32.1207,-84.7741,521,106780,50104,141329,4.36,Central/Chicago
210,East Joann,Russian Federation,GA,Georgia,City,26.1598,-112.9078,433,410456,159189,98743,4.98,Eastern/New_York
211,South Sheena,Samoa,VT,Vermont,Hamlet,43.3333,-72.0386,716,301638,104857,20562,2.31,Eastern/New_York
212,Arianaview,Nigeria,CO,Colorado,Village,33.322,-100.9317,373,335640,113159,81520,3.62,Pacific/Los_Angeles
213,Ginaburgh,Jamaica,KY,Kentucky,Town,29.6894,-114.0949,893,76261,25046,72069,2.21,Pacific/Los_Angeles
214,New Stacy,Tokelau,NC,North Carolina,CDP,25.1711,-115.3549,444,371263,156076,128573,4.43,Pacific/Los_Angeles
215,Howardchester,Estonia,SD,South Dakota,Town,46.1409,-102.055,282,30499,12644,133018,3.27,Mountain/Denver
216,New Rebeccastad,Russian Federation,ID,Idaho,Hamlet,44.7349,-70.0914,568,432436,171629,145934,3.48,Central/Chicago
217,Blevinstown,Nauru,WV,West Virginia,Hamlet,43.0277,-72.437,224,219298,102908,138524,3.65,Mountain/Denver
218,Phillipbury,Netherlands Antilles,LA,Louisiana,Hamlet,48.7243,-79.276,660,261619,110851,149540,2.25,Central/Chicago
